#Loop,Duration Loop(sec)
{5},27.86546230316162
{6},35.21155047416687
{7},34.51570653915405
{8},34.28652215003967
{9},26.74137282371521
{10},21.375110626220703
{11},8.571470975875854
{12},10.090989828109741
{1},11.576643705368042
{1},10.703981637954712
{2},12.40021824836731
{3},14.43304181098938
{4},17.772731065750122
{5},18.00144600868225
{6},14.960162878036499
{7},21.794291019439697
{8},25.721323490142822
{9},34.98082184791565
{10},22.606664180755615
{11},31.94622540473938
{12},25.851819276809692
{1},21.21144723892212
{2},28.976787090301514
{3},20.06366777420044
{4},23.59192419052124
{5},31.812071084976196
{6},24.767889499664307
{7},42.947542905807495
{8},24.361679077148438
{9},26.78651237487793
{10},29.820979118347168
{11},21.71337652206421
{12},28.151529788970947
{13},19.638477325439453
{1},21.199981927871704
{1},7.147700786590576
{1},6.572952747344971
{1},6.655665159225464
{1},9.624187231063843
{1},6.68994665145874
{1},6.723799705505371
{1},6.558128595352173
{1},14.00197982788086
{1},6.776914596557617
{1},6.624197959899902
{1},6.764092683792114
{1},6.543158292770386
{1},6.546110153198242
{1},7.077975749969482
{1},6.890046834945679
{1},12.203871488571167
{1},6.671106815338135
{1},6.783987522125244
{1},6.844775438308716
{1},6.8949666023254395
{1},10.602757215499878
{1},6.402417182922363
{1},7.132372856140137
{1},6.4526612758636475
{1},6.4964025020599365
{1},6.515293121337891
{1},6.5688316822052
{1},6.627696990966797
{1},6.659400224685669
{1},6.515300750732422
{1},6.577141761779785
{1},6.4617555141448975
{1},6.548303604125977
{1},6.643192768096924
{1},6.58471941947937
{1},6.398069858551025
{1},9.143778324127197
{1},6.6022796630859375
{1},11.634414196014404
{1},6.937641143798828
{1},6.764726638793945
{1},6.734863042831421
{1},7.061615228652954
{1},7.070035934448242
{1},6.857758522033691
{1},6.926714658737183
{1},6.6482226848602295
{1},6.725863456726074
{1},7.2317376136779785
{1},7.480523586273193
{1},11.962080001831055
{2},12.2388916015625
{3},35.20352864265442
{4},35.19393467903137
{1},9.114603281021118
{1},10.2994966506958
{2},43.15192413330078
{3},55.42644691467285
{4},37.53280854225159
{5},43.20215964317322
{6},26.70398736000061
{7},37.52491903305054
{8},54.77735948562622
{9},35.89010787010193
{10},41.1720917224884
{11},38.82470965385437
{12},35.418381690979004
{13},40.62941575050354
{1},25.248969793319702
{2},11.589076042175293
{1},6.793566703796387
{2},6.8124799728393555
{1},6.541832447052002
{2},6.852749824523926
{1},7.04834246635437
{2},6.852336406707764
{1},6.452709436416626
{2},7.003933906555176
{1},6.50993537902832
{2},6.869689702987671
{1},10.22835111618042
{2},9.172673225402832
{1},6.692468166351318
{2},6.78129243850708
{1},6.6254518032073975
{2},6.800609588623047
{1},6.537120819091797
{2},6.951923370361328
{1},11.423711061477661
{2},11.214342594146729
{3},13.103599786758423
{4},26.93132448196411
{5},25.232218742370605
{6},13.82377552986145
{7},24.981060028076172
{8},21.61257839202881
{9},22.937276124954224
{1},14.605701923370361
{2},16.517897605895996
{3},13.337576866149902
{4},12.6906898021698
{1},6.897807359695435
{2},6.6597816944122314
{1},6.605043411254883
{2},6.868256568908691
{1},6.466269254684448
{2},7.3200578689575195
{1},11.052949666976929
{2},6.609039783477783
{1},6.692398309707642
{2},6.579776763916016
{1},6.646105051040649
{2},6.596756458282471
{1},10.455190658569336
{2},9.591482400894165
{1},6.577405214309692
{2},6.833156585693359
{1},6.669190406799316
{2},6.822519302368164
{1},6.749816179275513
{2},6.721589088439941
{1},6.686827659606934
{2},6.927987575531006
{1},6.603612422943115
{2},6.841953754425049
{1},6.543208837509155
{2},6.850750923156738
{1},6.786505699157715
{2},7.290743112564087
{1},6.575010061264038
{2},6.897660970687866
{1},6.476740837097168
{2},6.8643271923065186
{1},6.690394163131714
{2},6.930893898010254
{1},6.464542865753174
{2},7.005076885223389
{1},6.357703924179077
{2},6.757098197937012
{1},6.823558568954468
{2},7.426626682281494
{1},6.454516887664795
{2},6.738901376724243
{1},6.557608127593994
{2},6.690722703933716
{1},7.856732606887817
{2},7.3720855712890625
{1},7.572983264923096
{2},7.214218378067017
{1},7.460901260375977
{2},7.629625558853149
{1},8.285839557647705
{2},7.733683347702026
{1},13.846393823623657
{2},12.600579977035522
{1},6.4920244216918945
{2},6.879135608673096
{1},6.666128635406494
{2},6.973290920257568
{1},6.4978132247924805
